FROM_LOINC,FROM_UNIT,TO_LOINC,TO_UNIT,FACTOR
59826-8,umol/L,38483-4,mg/dL,0.0110
14682-9,umol/L,2160-0,mg/dL,0.0110
59260-0,mmol/L,718-7,g/dL,1.6100
75928-2,mmol/L,30313-1,g/dL,1.6100
75940-7,mg/dL,6298-4,mmol/L,0.2560
15074-8,mmol/L,2339-0,mg/dL,18.0200
72516-8,mmol/L,2340-8,mg/dL,18.0200
14743-9,mmol/L,41653-7,mg/dL,18.0200
14749-6,mmol/L,2345-7,mg/dL,18.0200
39480-9,mmol/L,41652-9,mg/dL,18.0200
39481-7,mmol/L,41651-1,mg/dL,18.0200
51596-5,mmol/L,32016-8,mg/dL,18.0200
76485-2,nmol/L,1988-5,mg/L,0.1000
76486-0,nmol/L,30522-7,mg/L,0.1000
72903-8,mmol/L,20977-5,mg/dL,6.0060
22664-7,mmol/L,3091-6,mg/dL,6.0060
72926-9,mmol/L,12962-7,mg/dL,6.0060
72927-7,mmol/L,12961-9,mg/dL,6.0060
59570-2,mmol/L,6299-2,mg/dL,6.0060
14937-7,mmol/L,3094-0,mg/dL,6.0060
38230-9,mg/dL,1994-3,mmol/L,0.2500
59470-5,mg/dL,34581-9,mmol/L,0.2500
17863-2,mg/dL,1995-0,mmol/L,0.2500
17864-0,mg/dL,12180-6,mmol/L,0.2500
34927-4,umol/L,3107-0,mg/dL,0.0592
34928-2,umol/L,20405-7,mg/dL,0.0592
60025-4,umol/L,50563-6,mg/dL,0.0592
49765-1,mg/dL,1996-8,mmol/L,0.2500
17861-6,mg/dL,2000-8,mmol/L,0.2500
54363-7,umol/L,42719-5,mg/dL,0.0585
14631-6,umol/L,1975-2,mg/dL,0.0585
70199-5,umol/L,1978-6,mg/dL,0.0585
41016-7,umol/L,20505-4,mg/dL,0.0585
68367-2,umol/L,53327-3,mg/dL,0.0585
15076-3,mmol/L,2350-7,mg/dL,18.0200
22705-8,mmol/L,5792-7,mg/dL,18.0200
59156-0,mmol/L,53328-1,mg/dL,18.0200
14933-6,umol/L,3084-1,mg/dL,0.0168
21377-7,mg/dL,2593-2,mmol/L,0.4110
19123-9,mg/dL,2601-3,mmol/L,0.4110
59032-3,mg/dL,32693-4,mmol/L,0.1110
30242-2,mg/dL,2518-9,mmol/L,0.1110
14118-4,mg/dL,2524-7,mmol/L,0.1110
22748-8,mmol/L,2089-1,mg/dL,38.6698
39469-2,mmol/L,13457-7,mg/dL,38.6698
69419-0,mmol/L,18262-6,mg/dL,38.6698
24519-1,mmol/L,2774-8,mg/dL,0.3229
14879-1,mmol/L,2777-1,mg/dL,0.3229
14920-3,pmol/L,3024-7,ng/dL,0.0777
70217-5,pmol/L,6892-4,ng/dL,0.7770
14928-6,pmol/L,3051-0,pg/mL,64.9400
83126-3,pmol/L,83127-1,pg/mL,64.9400
70218-3,mmol/L,3043-7,mg/dL,88.5000
14927-8,mmol/L,2571-8,mg/dL,88.5000
14683-7,mmol/L,2161-8,mg/dL,0.0113
30002-0,umol/L,30004-6,mg/dL,0.0113
14647-2,mmol/L,2093-3,mg/dL,38.6100
14646-4,mmol/L,2085-9,mg/dL,38.6100
14723-1,pmol/L,2276-4,ng/mL,0.4450
83108-1,pmol/L,83107-3,pg/mL,8.4570
14798-3,umol/L,2498-4,ug/dL,5.5870
22702-5,mmol/L,5797-6,mg/dL,5.8080
59158-6,mmol/L,50557-8,mg/dL,5.8080
14635-7,pmol/L,1989-3,pg/mL,0.3850
14675-3,nmol/L,2143-6,ug/dL,0.3620
83090-1,nmol/L,83088-5,ug/dL,0.3620
14685-2,pmol/L,2132-9,pg/mL,1.3554
76491-0,umol/L,2472-9,mg/dL,97.1000
77177-4,umol/L,2465-3,mg/dL,14.9900
25415-1,nmol/L,2282-2,ng/mL,0.4413
14732-2,nmol/L,2284-8,ng/mL,0.4413
22674-6,umol/L,3034-6,mg/dL,8.1300
56887-3,nmol/L,2639-3,ug/L,17.5100
76487-8,umol/L,2458-8,mg/dL,16.0000
39797-6,umol/L,4092-3,ug/mL,1.4493
14866-8,pmol/L,2731-8,pg/mL,9.4300
14715-7,pmol/L,2243-4,pg/mL,0.2724
72873-3,pmol/L,35384-7,pg/mL,0.2724
83097-6,pmol/L,83096-8,pg/mL,0.2724
76496-9,umol/L,4498-2,mg/dL,20.0000
43583-4,nmol/L,10835-7,mg/dL,28.0100
14629-0,umol/L,1968-7,mg/dL,0.0585
70209-2,umol/L,4542-7,mg/dL,10.0000
76484-5,nmol/L,1952-1,ug/mL,0.0118
77163-4,nmol/L,46723-3,mg/L,0.0300
25433-4,mmol/L,721-1,g/dL,1.6100
14913-8,nmol/L,2986-8,ng/dL,28.8200
70239-9,nmol/L,49041-7,ng/dL,28.8200
83115-6,nmol/L,83116-4,ng/mL,28.8200
15120-9,mmol/L,5640-8,mg/dL,4.6100
14719-9,mmol/L,5643-2,mg/dL,4.6100
14946-8,umol/L,4086-5,ug/mL,0.1442
48347-9,umol/L,30471-7,mg/mL,0.1702
76490-2,umol/L,33415-1,mg/dL,14.99
78920-6,nmol/L,14978-1,ng/mL,1.2019
15103-5,nmol/L,3521-2,ng/mL,1.2019
32664-5,ug/mL,1839-0,umol/L,0.5870
22763-7,ug/dL,16362-6,umol/L,0.5870
20684-7,ug/dL,1841-6,umol/L,0.5870
14630-8,umol/L,1971-1,mg/dL,0.0585
15104-3,nmol/L,3559-2,ug/L,0.7650
27941-4,mg/dL,2520-5,mmol/L,0.1110
13965-9,umol/L,2428-1,mg/l,0.1350
62236-5,nmol/L,30552-4,ug/L,0.2471
31012-8,umol/L,20578-1,ug/mL,1.4493
14744-7,mmol/L,2342-4,mg/dL,18.0200
17862-4,mg/dL,2004-0,mmol/L,0.2500
76494-4,nmol/L,74096-9,ng/mL,0.8220
25458-1,umol/L,6948-4,ug/mL,0.2560
14674-6,pmol/L,2141-0,pg/mL,4.5455
14890-8,nmol/L,2839-9,ng/mL,0.3145
83110-7,nmol/L,83109-9,ng/mL,0.3145
22747-0,umol/L,3665-7,mg/L,0.4785
14334-7,mmol/L,3719-2,ug/mL,6.9400
32554-8,nmol/L,2998-3,ug/dL,0.0338
20468-5,nmol/L,2999-1,ug/dL,0.0338
29775-4,nmol/L,2484-4,ng/mL,7.6336
14688-6,umol/L,2191-5,ug/dL,37.0370
25386-4,umol/L,12190-5,mg/dL,0.0113
14877-5,umol/L,3968-5,ug/mL,0.2520
76489-4,umol/L,2464-6,mg/dL,14.9900
29760-6,umol/L,15152-2,mg/dL,0.0585
14836-1,umol/L,3793-7,ug/mL,0.454
14914-6,nmol/L,2991-8,ng/dL,28.8200
70240-7,nmol/L,49042-5,ng/dL,28.8200
14586-2,pmol/L,1763-2,ng/dL,0.0361
13967-5,nmol/L,2942-1,ug/dL,9.5000
52958-6,umol/L,3774-7,mg/L,0.3096
22700-9,mmol/L,3092-4,mg/dL,6.0060
14938-5,mmol/L,3095-7,mg/dL,6.0060
